case,sources,groups,declared_bound,witness_risk
52,6,3,0.0487840215826,0.0487840215826
53,5,3,0.0483937145741,0.0483937145741
54,1,1,0.0303491770995,0.0303491770995
55,1,1,0.0294972341999,0.0294972341999
56,5,3,0.0472795503968,0.0472795503968
57,3,2,0.0467055775279,0.0467055775279
58,5,3,0.0476587073073,0.0476587073073
59,3,2,0.0486960710696,0.0486960710696
60,2,1,0.022400991114,0.022400991114
61,1,1,0.0153294190521,0.0153294190521
62,2,1,0.016553902329,0.016553902329
63,6,3,0.0491621297698,0.0491621297698
64,1,1,0.0183958885565,0.0183958885565
65,2,1,0.022996208738,0.022996208738
66,4,2,0.0484843754891,0.0484843754891
67,6,3,0.0498286600584,0.0498286600584
68,5,3,0.0491700288881,0.0491700288881
69,5,3,0.0496918247,0.0496918247
70,5,3,0.0498155939985,0.0498155939985
71,6,3,0.0488348850178,0.0488348850178
72,1,1,0.0203274167485,0.0203274167485
73,5,3,0.0466710500514,0.0466710500514
74,3,2,0.0405483437703,0.0405483437703
75,6,3,0.0489121410791,0.0489121410791
76,1,1,0.0253323324342,0.0253323324342
77,4,2,0.0456492391925,0.0456492391925
78,4,2,0.0447601694856,0.0447601694856
79,1,1,0.0464999228849,0.0464999228849
80,6,3,0.0496304990765,0.0496304990765
81,2,1,0.0495835638819,0.0495835638819
82,6,3,0.0491542636497,0.0491542636497
83,5,3,0.0491845492007,0.0491845492007
84,5,3,0.0488025550992,0.0488025550992
85,5,3,0.0485960530769,0.0485960530769
86,5,3,0.0327358099497,0.0327358099497
87,1,1,0.0147604460618,0.0147604460618
88,2,1,0.0202156994563,0.0202156994563
89,4,2,0.0488546989791,0.0488546989791
90,1,1,0.0294382082059,0.0294382082059
91,4,2,0.0495845472001,0.0495845472001
92,1,1,0.0498704407268,0.0498704407268
93,2,1,0.0275114147649,0.0275114147649
94,6,3,0.0487347008319,0.0487347008319
95,6,3,0.0493566591279,0.0493566591279
96,2,1,0.0387420489,0.0387420489
97,4,2,0.048833784493,0.048833784493
98,6,3,0.0475221907851,0.0475221907851
99,6,3,0.0481244648847,0.0481244648847
100,6,3,0.0478360028839,0.0478360028839
101,2,1,0.0460149131716,0.0460149131716
102,3,2,0.0498145263894,0.0498145263894
103,2,1,0.0440837833899,0.0440837833899
104,2,1,0.0214224990886,0.0214224990886
105,1,1,0.0211150611492,0.0211150611492
106,1,1,0.0262826917927,0.0262826917927
107,1,1,0.025686155211,0.025686155211
108,4,2,0.0493998078323,0.0493998078323
109,2,1,0.0375550208204,0.0375550208204
110,1,1,0.0495964288421,0.0495964288421
111,3,2,0.0473340801244,0.0473340801244
112,2,1,0.018771395509,0.018771395509
113,5,3,0.0494231648113,0.0494231648113
114,5,3,0.048837951379,0.048837951379
115,3,2,0.04976527512,0.04976527512
116,4,2,0.0492664490039,0.0492664490039
117,6,3,0.0483586804135,0.0483586804135
118,1,1,0.0251590521398,0.0251590521398
119,4,2,0.0461682780447,0.0461682780447
120,3,2,0.0479944820794,0.0479944820794
121,1,1,0.048281117205,0.048281117205
122,5,3,0.0492707635083,0.0492707635083
123,3,2,0.0399121431839,0.0399121431839
124,5,3,0.0488329739844,0.0488329739844
125,4,2,0.047732094901,0.047732094901
126,6,3,0.0484176730196,0.0484176730196
127,1,1,0.0219990587513,0.0219990587513
128,6,3,0.047702671855,0.047702671855
129,4,2,0.0448795621931,0.0448795621931
130,5,3,0.0488298351897,0.0488298351897
131,1,1,0.014686781333,0.014686781333
132,3,2,0.0411857709643,0.0411857709643
133,1,1,0.0498704407268,0.0498704407268
134,4,2,0.0455846388745,0.0455846388745
135,2,1,0.0485467824361,0.0485467824361
136,2,1,0.0495001041722,0.0495001041722
137,3,2,0.0392478404714,0.0392478404714
138,4,2,0.0494561443988,0.0494561443988
139,2,1,0.0475012974501,0.0475012974501
140,3,2,0.0480266201098,0.0480266201098
141,3,2,0.0476293570554,0.0476293570554
142,5,3,0.0485634516272,0.0485634516272
143,6,3,0.0467185916636,0.0467185916636
144,1,1,0.0490869879723,0.0490869879723
145,4,2,0.049161175277,0.049161175277
146,2,1,0.0246945311627,0.0246945311627
147,6,3,0.0466892763685,0.0466892763685
148,6,3,0.0489771232287,0.0489771232287
149,4,2,0.0493182404009,0.0493182404009
150,6,3,0.0495902618819,0.0495902618819
151,2,1,0.0483946166016,0.0483946166016
152,5,3,0.0488322533012,0.0488322533012
153,6,3,0.0484389221964,0.0484389221964
154,6,3,0.0489245795947,0.0489245795947
155,3,2,0.0397963004047,0.0397963004047
156,2,1,0.0453060887447,0.0453060887447
157,2,1,0.0494538590478,0.0494538590478
158,3,2,0.0387702275898,0.0387702275898
159,2,1,0.0194410700413,0.0194410700413
160,6,3,0.0496006766133,0.0496006766133
161,3,2,0.0419110649062,0.0419110649062
162,3,2,0.0409125909054,0.0409125909054
163,2,1,0.0460149131716,0.0460149131716
164,6,3,0.0494897394674,0.0494897394674
165,2,1,0.0483693483881,0.0483693483881
166,3,2,0.0487949817256,0.0487949817256
167,3,2,0.0493700500474,0.0493700500474
168,6,3,0.049465666298,0.049465666298
169,4,2,0.0468168143839,0.0468168143839
170,2,1,0.0494644217365,0.0494644217365
171,2,1,0.0166475489337,0.0166475489337
172,4,2,0.0448502928583,0.0448502928583
173,3,2,0.0434423919427,0.0434423919427
174,2,1,0.0238537368283,0.0238537368283
175,1,1,0.0478101806594,0.0478101806594
176,1,1,0.0486807152407,0.0486807152407
177,3,2,0.0357831656287,0.0357831656287
178,1,1,0.0182137136486,0.0182137136486
179,6,3,0.0491794001915,0.0491794001915
180,5,3,0.0498139385059,0.0498139385059
181,1,1,0.0174160377042,0.0174160377042
182,1,1,0.0261425828104,0.0261425828104
183,6,3,0.0491640750214,0.0491640750214
184,4,2,0.0486975555266,0.0486975555266
185,3,2,0.0416480779621,0.0416480779621
186,1,1,0.0147161588092,0.0147161588092
187,3,2,0.0478058041688,0.0478058041688
188,1,1,0.0241275658258,0.0241275658258
189,2,1,0.0490869879723,0.0490869879723
190,6,3,0.0477217201949,0.0477217201949
191,1,1,0.0301007829343,0.0301007829343
192,5,3,0.0496999240957,0.0496999240957
193,5,3,0.0488077313721,0.0488077313721
194,6,3,0.049094620486,0.049094620486
195,6,3,0.0494780745922,0.0494780745922
196,1,1,0.0209347984027,0.0209347984027
197,2,1,0.0294382082059,0.0294382082059
198,3,2,0.024784130645,0.024784130645
199,3,2,0.039433584187,0.039433584187
200,3,2,0.0443052748452,0.0443052748452
201,2,1,0.0253323324342,0.0253323324342
202,2,1,0.0177736822236,0.0177736822236
203,4,2,0.0484157004619,0.0484157004619
204,4,2,0.0465163155489,0.0465163155489
205,6,3,0.049623125752,0.049623125752
206,1,1,0.0189405443765,0.0189405443765
207,5,3,0.0489711990388,0.0489711990388
208,3,2,0.0487043687569,0.0487043687569
209,3,2,0.048659853691,0.048659853691
210,2,1,0.0414731588653,0.0414731588653
211,3,2,0.0486098789956,0.0486098789956
212,4,2,0.0475155252672,0.0475155252672
213,1,1,0.0218034540507,0.0218034540507
214,3,2,0.0445736589547,0.0445736589547
215,5,3,0.0491313657478,0.0491313657478
216,6,3,0.0495796441624,0.0495796441624
217,6,3,0.0487069838008,0.0487069838008
218,5,3,0.048559687799,0.048559687799
219,1,1,0.0227473292266,0.0227473292266
220,1,1,0.0233243145062,0.0233243145062
221,4,2,0.0464213944898,0.0464213944898
222,1,1,0.0490869879723,0.0490869879723
223,3,2,0.0499120823436,0.0499120823436
224,2,1,0.0496393603359,0.0496393603359
225,2,1,0.0447545706043,0.0447545706043
226,6,3,0.0485094617903,0.0485094617903
227,6,3,0.04939462107,0.04939462107
228,6,3,0.0489264754237,0.0489264754237
229,6,3,0.0468495070904,0.0468495070904
230,4,2,0.0452601759609,0.0452601759609
231,2,1,0.048910472673,0.048910472673
232,4,2,0.0497103460997,0.0497103460997
233,2,1,0.0387420489,0.0387420489
234,6,3,0.0479803913602,0.0479803913602
235,1,1,0.0490869879723,0.0490869879723
236,6,3,0.0487278962945,0.0487278962945
237,3,2,0.0306695512585,0.0306695512585
238,1,1,0.0307295535854,0.0307295535854
239,1,1,0.0326385905316,0.0326385905316
240,4,2,0.0494831080426,0.0494831080426
241,3,2,0.0426070324782,0.0426070324782
242,3,2,0.049476296308,0.049476296308
243,3,2,0.049428889271,0.049428889271
244,2,1,0.0378449028547,0.0378449028547
245,2,1,0.0494011132499,0.0494011132499
246,1,1,0.0488454186053,0.0488454186053
247,4,2,0.0480519508837,0.0480519508837
248,6,3,0.0494520620028,0.0494520620028
249,5,3,0.0476403016217,0.0476403016217
250,1,1,0.0203555392942,0.0203555392942
251,6,3,0.0493759313084,0.0493759313084
252,3,2,0.0481372198889,0.0481372198889
253,3,2,0.043427543363,0.043427543363
254,2,1,0.0204973275129,0.0204973275129
255,2,1,0.0499419761749,0.0499419761749
256,2,1,0.0480734279844,0.0480734279844
257,6,3,0.049244011753,0.049244011753
258,4,2,0.048083760419,0.048083760419
259,5,3,0.0491284087255,0.0491284087255
260,4,2,0.0493405275568,0.0493405275568
261,1,1,0.0461593496998,0.0461593496998
262,1,1,0.0406703661483,0.0406703661483
263,4,2,0.0489428230702,0.0489428230702
264,5,3,0.0486972839538,0.0486972839538
265,1,1,0.0188435164792,0.0188435164792
266,5,3,0.0480767687256,0.0480767687256
267,5,3,0.0482865049815,0.0482865049815
268,1,1,0.0185116103095,0.0185116103095
269,6,3,0.0492447984936,0.0492447984936
270,4,2,0.0483295295975,0.0483295295975
271,1,1,0.0204973275129,0.0204973275129
272,6,3,0.0490087719397,0.0490087719397
273,6,3,0.0488337681151,0.0488337681151
274,6,3,0.0495566232011,0.0495566232011
275,2,1,0.024611909891,0.024611909891
276,4,2,0.0452387096779,0.0452387096779
277,3,2,0.0421772060306,0.0421772060306
278,3,2,0.0492563406024,0.0492563406024
279,1,1,0.0403357526211,0.0403357526211
280,5,3,0.048474342552,0.048474342552
281,2,1,0.0226075165566,0.0226075165566
282,4,2,0.0486670859,0.0486670859
283,6,3,0.0490341753796,0.0490341753796
284,3,2,0.0492095369685,0.0492095369685
285,5,3,0.0491537671552,0.0491537671552
286,3,2,0.0426468593568,0.0426468593568
287,6,3,0.0496166764596,0.0496166764596
288,2,1,0.0498551383764,0.0498551383764
289,4,2,0.0487405297858,0.0487405297858
290,2,1,0.0469952728211,0.0469952728211
291,2,1,0.0208163237137,0.0208163237137
292,3,2,0.0349585735337,0.0349585735337
293,5,3,0.0456135746517,0.0456135746517
294,3,2,0.0438646006138,0.0438646006138
295,1,1,0.0152027115314,0.0152027115314
296,6,3,0.0492370128614,0.0492370128614
297,1,1,0.0352172182225,0.0352172182225
298,5,3,0.0462322260257,0.0462322260257
299,6,3,0.0487729242115,0.0487729242115
