history,scale,rep,audit_cost,conditional_risk,false_conditional_claim,interval_miss
100,0.0005,188,64,-0,0,0
100,0.0005,189,64,-0,0,0
100,0.0005,190,64,-0,0,0
100,0.0005,191,64,-0,0,0
100,0.0005,192,64,-0,0,0
100,0.0005,193,64,-0,0,0
100,0.0005,194,64,-0,0,0
100,0.0005,195,64,-0,0,0
100,0.0005,196,64,-0,0,0
100,0.0005,197,64,-0,0,0
100,0.0005,198,64,-0,0,0
100,0.0005,199,64,-0,0,0
1000,1e-05,0,60,9.999650005e-05,0,0
1000,1e-05,1,60,9.999650005e-05,0,0
1000,1e-05,2,60,9.999650005e-05,0,0
1000,1e-05,3,60,9.999650005e-05,0,0
1000,1e-05,4,60,9.999650005e-05,0,0
1000,1e-05,5,60,9.999650005e-05,0,0
1000,1e-05,6,60,9.999650005e-05,0,0
1000,1e-05,7,60,9.999650005e-05,0,0
1000,1e-05,8,60,9.999650005e-05,0,0
1000,1e-05,9,60,9.999650005e-05,0,0
1000,1e-05,10,60,9.999650005e-05,0,0
1000,1e-05,11,60,9.999650005e-05,0,0
1000,1e-05,12,60,9.999650005e-05,0,0
1000,1e-05,13,60,9.999650005e-05,0,0
1000,1e-05,14,60,9.999650005e-05,0,0
1000,1e-05,15,60,9.999650005e-05,0,0
1000,1e-05,16,60,9.999650005e-05,0,0
1000,1e-05,17,60,9.999650005e-05,0,0
1000,1e-05,18,60,9.999650005e-05,0,0
1000,1e-05,19,60,9.999650005e-05,0,0
1000,1e-05,20,60,9.999650005e-05,0,0
1000,1e-05,21,60,9.999650005e-05,0,0
1000,1e-05,22,60,9.999650005e-05,0,0
1000,1e-05,23,60,9.999650005e-05,0,0
1000,1e-05,24,60,9.999650005e-05,0,0
1000,1e-05,25,60,9.999650005e-05,0,0
1000,1e-05,26,60,9.999650005e-05,0,0
1000,1e-05,27,60,9.999650005e-05,0,0
1000,1e-05,28,60,9.999650005e-05,0,0
1000,1e-05,29,60,9.999650005e-05,0,0
1000,1e-05,30,60,9.999650005e-05,0,0
1000,1e-05,31,60,9.999650005e-05,0,0
1000,1e-05,32,60,9.999650005e-05,0,0
1000,1e-05,33,60,9.999650005e-05,0,0
1000,1e-05,34,60,9.999650005e-05,0,0
1000,1e-05,35,60,9.999650005e-05,0,0
1000,1e-05,36,60,9.999650005e-05,0,0
1000,1e-05,37,60,9.999650005e-05,0,0
1000,1e-05,38,60,9.999650005e-05,0,0
1000,1e-05,39,60,9.999650005e-05,0,0
1000,1e-05,40,60,9.999650005e-05,0,0
1000,1e-05,41,60,9.999650005e-05,0,0
1000,1e-05,42,60,9.999650005e-05,0,0
1000,1e-05,43,60,9.999650005e-05,0,0
1000,1e-05,44,60,9.999650005e-05,0,0
1000,1e-05,45,60,9.999650005e-05,0,0
1000,1e-05,46,60,9.999650005e-05,0,0
1000,1e-05,47,60,9.999650005e-05,0,0
1000,1e-05,48,60,9.999650005e-05,0,0
1000,1e-05,49,60,9.999650005e-05,0,0
1000,1e-05,50,60,9.999650005e-05,0,0
1000,1e-05,51,60,9.999650005e-05,0,0
1000,1e-05,52,60,9.999650005e-05,0,0
1000,1e-05,53,60,9.999650005e-05,0,0
1000,1e-05,54,60,9.999650005e-05,0,0
1000,1e-05,55,60,9.999650005e-05,0,0
1000,1e-05,56,60,9.999650005e-05,0,0
1000,1e-05,57,60,9.999650005e-05,0,0
1000,1e-05,58,60,9.999650005e-05,0,0
1000,1e-05,59,60,9.999650005e-05,0,0
1000,1e-05,60,60,9.999650005e-05,0,0
1000,1e-05,61,60,9.999650005e-05,0,0
1000,1e-05,62,60,9.999650005e-05,0,0
1000,1e-05,63,60,9.999650005e-05,0,0
1000,1e-05,64,60,9.999650005e-05,0,0
1000,1e-05,65,60,9.999650005e-05,0,0
1000,1e-05,66,60,9.999650005e-05,0,0
1000,1e-05,67,60,9.999650005e-05,0,0
1000,1e-05,68,60,9.999650005e-05,0,0
1000,1e-05,69,60,9.999650005e-05,0,0
1000,1e-05,70,60,9.999650005e-05,0,0
1000,1e-05,71,60,9.999650005e-05,0,0
1000,1e-05,72,60,9.999650005e-05,0,0
1000,1e-05,73,60,9.999650005e-05,0,0
1000,1e-05,74,60,9.999650005e-05,0,0
1000,1e-05,75,60,9.999650005e-05,0,0
1000,1e-05,76,60,9.999650005e-05,0,0
1000,1e-05,77,60,9.999650005e-05,0,0
1000,1e-05,78,60,9.999650005e-05,0,0
1000,1e-05,79,60,9.999650005e-05,0,0
1000,1e-05,80,60,9.999650005e-05,0,0
1000,1e-05,81,60,9.999650005e-05,0,0
1000,1e-05,82,60,9.999650005e-05,0,0
1000,1e-05,83,60,9.999650005e-05,0,0
1000,1e-05,84,60,9.999650005e-05,0,0
1000,1e-05,85,60,9.999650005e-05,0,0
1000,1e-05,86,60,9.999650005e-05,0,0
1000,1e-05,87,60,9.999650005e-05,0,0
1000,1e-05,88,60,9.999650005e-05,0,0
1000,1e-05,89,60,9.999650005e-05,0,0
1000,1e-05,90,60,9.999650005e-05,0,0
1000,1e-05,91,60,9.999650005e-05,0,0
1000,1e-05,92,60,9.999650005e-05,0,0
1000,1e-05,93,60,9.999650005e-05,0,0
1000,1e-05,94,60,9.999650005e-05,0,0
1000,1e-05,95,60,9.999650005e-05,0,0
1000,1e-05,96,60,9.999650005e-05,0,0
1000,1e-05,97,60,9.999650005e-05,0,0
1000,1e-05,98,60,9.999650005e-05,0,0
1000,1e-05,99,60,9.999650005e-05,0,0
1000,1e-05,100,60,9.999650005e-05,0,0
1000,1e-05,101,60,9.999650005e-05,0,0
1000,1e-05,102,60,9.999650005e-05,0,0
1000,1e-05,103,60,9.999650005e-05,0,0
1000,1e-05,104,60,9.999650005e-05,0,0
1000,1e-05,105,60,9.999650005e-05,0,0
1000,1e-05,106,60,9.999650005e-05,0,0
1000,1e-05,107,60,9.999650005e-05,0,0
1000,1e-05,108,60,9.999650005e-05,0,0
1000,1e-05,109,60,9.999650005e-05,0,0
1000,1e-05,110,60,9.999650005e-05,0,0
1000,1e-05,111,60,9.999650005e-05,0,0
1000,1e-05,112,60,9.999650005e-05,0,0
1000,1e-05,113,60,9.999650005e-05,0,0
1000,1e-05,114,60,9.999650005e-05,0,0
1000,1e-05,115,61,5.9998900006e-05,0,0
1000,1e-05,116,60,9.999650005e-05,0,0
1000,1e-05,117,60,9.999650005e-05,0,0
1000,1e-05,118,60,9.999650005e-05,0,0
1000,1e-05,119,60,9.999650005e-05,0,0
1000,1e-05,120,60,9.999650005e-05,0,0
1000,1e-05,121,60,9.999650005e-05,0,0
1000,1e-05,122,60,9.999650005e-05,0,0
1000,1e-05,123,60,9.999650005e-05,0,0
1000,1e-05,124,60,9.999650005e-05,0,0
1000,1e-05,125,60,9.999650005e-05,0,0
1000,1e-05,126,60,9.999650005e-05,0,0
1000,1e-05,127,60,9.999650005e-05,0,0
1000,1e-05,128,60,9.999650005e-05,0,0
1000,1e-05,129,60,9.999650005e-05,0,0
1000,1e-05,130,60,9.999650005e-05,0,0
1000,1e-05,131,60,9.999650005e-05,0,0
1000,1e-05,132,60,9.999650005e-05,0,0
1000,1e-05,133,60,9.999650005e-05,0,0
1000,1e-05,134,60,9.999650005e-05,0,0
1000,1e-05,135,60,9.999650005e-05,0,0
1000,1e-05,136,60,9.999650005e-05,0,0
1000,1e-05,137,60,9.999650005e-05,0,0
1000,1e-05,138,60,9.999650005e-05,0,0
1000,1e-05,139,60,9.999650005e-05,0,0
1000,1e-05,140,60,9.999650005e-05,0,0
1000,1e-05,141,60,9.999650005e-05,0,0
1000,1e-05,142,60,9.999650005e-05,0,0
1000,1e-05,143,60,9.999650005e-05,0,0
1000,1e-05,144,60,9.999650005e-05,0,0
1000,1e-05,145,60,9.999650005e-05,0,0
1000,1e-05,146,60,9.999650005e-05,0,0
1000,1e-05,147,60,9.999650005e-05,0,0
1000,1e-05,148,60,9.999650005e-05,0,0
1000,1e-05,149,60,9.999650005e-05,0,0
1000,1e-05,150,60,9.999650005e-05,0,0
1000,1e-05,151,60,9.999650005e-05,0,0
1000,1e-05,152,60,9.999650005e-05,0,0
1000,1e-05,153,60,9.999650005e-05,0,0
1000,1e-05,154,60,9.999650005e-05,0,0
1000,1e-05,155,60,9.999650005e-05,0,0
1000,1e-05,156,60,9.999650005e-05,0,0
1000,1e-05,157,60,9.999650005e-05,0,0
1000,1e-05,158,60,9.999650005e-05,0,0
1000,1e-05,159,60,9.999650005e-05,0,0
1000,1e-05,160,60,9.999650005e-05,0,0
1000,1e-05,161,60,9.999650005e-05,0,0
1000,1e-05,162,60,9.999650005e-05,0,0
1000,1e-05,163,60,9.999650005e-05,0,0
1000,1e-05,164,60,9.999650005e-05,0,0
1000,1e-05,165,60,9.999650005e-05,0,0
1000,1e-05,166,60,9.999650005e-05,0,0
1000,1e-05,167,60,9.999650005e-05,0,0
1000,1e-05,168,60,9.999650005e-05,0,0
1000,1e-05,169,60,9.999650005e-05,0,0
1000,1e-05,170,60,9.999650005e-05,0,0
1000,1e-05,171,60,9.999650005e-05,0,0
1000,1e-05,172,60,9.999650005e-05,0,0
1000,1e-05,173,60,9.999650005e-05,0,0
1000,1e-05,174,60,9.999650005e-05,0,0
1000,1e-05,175,60,9.999650005e-05,0,0
1000,1e-05,176,60,9.999650005e-05,0,0
1000,1e-05,177,60,9.999650005e-05,0,0
1000,1e-05,178,60,9.999650005e-05,0,0
1000,1e-05,179,60,9.999650005e-05,0,0
1000,1e-05,180,60,9.999650005e-05,0,0
1000,1e-05,181,60,9.999650005e-05,0,0
1000,1e-05,182,60,9.999650005e-05,0,0
1000,1e-05,183,60,9.999650005e-05,0,0
1000,1e-05,184,60,9.999650005e-05,0,0
1000,1e-05,185,60,9.999650005e-05,0,0
1000,1e-05,186,60,9.999650005e-05,0,0
1000,1e-05,187,60,9.999650005e-05,0,0
1000,1e-05,188,60,9.999650005e-05,0,0
1000,1e-05,189,60,9.999650005e-05,0,0
1000,1e-05,190,60,9.999650005e-05,0,0
1000,1e-05,191,60,9.999650005e-05,0,0
1000,1e-05,192,60,9.999650005e-05,0,0
1000,1e-05,193,60,9.999650005e-05,0,0
1000,1e-05,194,60,9.999650005e-05,0,0
1000,1e-05,195,60,9.999650005e-05,0,0
1000,1e-05,196,60,9.999650005e-05,0,0
1000,1e-05,197,60,9.999650005e-05,0,0
1000,1e-05,198,60,9.999650005e-05,0,0
1000,1e-05,199,60,9.999650005e-05,0,0
1000,0.0005,0,61,0.00299725075,0,0
1000,0.0005,1,61,0.0039952515,0,0
1000,0.0005,2,61,0.003496501,0,0
1000,0.0005,3,61,0.003496501,0,0
1000,0.0005,4,61,0.003496501,0,0
1000,0.0005,5,61,0.003496501,0,0
1000,0.0005,6,61,0.004493503,0,0
1000,0.0005,7,61,0.00299725075,0,0
1000,0.0005,8,62,0.002998,0,0
1000,0.0005,9,61,0.00299725075,0,0
1000,0.0005,10,61,0.00299725075,0,0
1000,0.0005,11,61,0.00299725075,0,0
1000,0.0005,12,61,0.0039952515,0,0
1000,0.0005,13,61,0.00299725075,0,0
1000,0.0005,14,61,0.00299725075,0,0
1000,0.0005,15,61,0.003496501,0,0
1000,0.0005,16,61,0.00299725075,0,0
1000,0.0005,17,61,0.00299725075,0,0
1000,0.0005,18,61,0.00299725075,0,0
1000,0.0005,19,61,0.003496501,0,0
1000,0.0005,20,61,0.003496501,0,0
1000,0.0005,21,62,0.0014995,0,0
1000,0.0005,22,61,0.0039952515,0,0
1000,0.0005,23,61,0.003496501,0,0
1000,0.0005,24,61,0.003496501,0,0
1000,0.0005,25,61,0.00299725075,0,0
1000,0.0005,26,61,0.003496501,0,0
1000,0.0005,27,61,0.00299725075,0,0
1000,0.0005,28,62,0.0014995,0,0
1000,0.0005,29,61,0.00299725075,0,0
1000,0.0005,30,61,0.003496501,0,0
1000,0.0005,31,61,0.00299725075,0,0
1000,0.0005,32,61,0.0039952515,0,0
1000,0.0005,33,61,0.003496501,0,0
1000,0.0005,34,61,0.00299725075,0,0
1000,0.0005,35,61,0.0039952515,0,0
1000,0.0005,36,61,0.004493503,0,0
1000,0.0005,37,61,0.00299725075,0,0
1000,0.0005,38,61,0.0039952515,0,0
1000,0.0005,39,61,0.003496501,0,0
1000,0.0005,40,61,0.003496501,0,0
1000,0.0005,41,61,0.00299725075,0,0
1000,0.0005,42,61,0.00299725075,0,0
1000,0.0005,43,61,0.00299725075,0,0
1000,0.0005,44,61,0.003496501,0,0
1000,0.0005,45,61,0.003496501,0,0
1000,0.0005,46,61,0.00299725075,0,0
1000,0.0005,47,61,0.003496501,0,0
1000,0.0005,48,62,0.00199925,0,0
1000,0.0005,49,61,0.003496501,0,0
1000,0.0005,50,61,0.00299725075,0,0
1000,0.0005,51,62,0.0014995,0,0
1000,0.0005,52,61,0.00299725075,0,0
1000,0.0005,53,61,0.00299725075,0,0
1000,0.0005,54,61,0.003496501,0,0
1000,0.0005,55,62,0.0014995,0,0
1000,0.0005,56,61,0.00299725075,0,0
1000,0.0005,57,62,0.0014995,0,0
1000,0.0005,58,61,0.00299725075,0,0
1000,0.0005,59,61,0.00299725075,0,0
1000,0.0005,60,61,0.0039952515,0,0
1000,0.0005,61,61,0.00299725075,0,0
1000,0.0005,62,61,0.003496501,0,0
1000,0.0005,63,61,0.00299725075,0,0
